Word,Frequency,Belonging,Score
10606,1,1,1
10654,1,1,1
10887,1,1,1
10548,1,1,1
10491,1,1,1
10248,1,1,1
11020,1,1,1
10723,1,1,1
10950,1,1,1
10749,1,1,1
10628,1,1,1
11044,1,1,1
10449,1,1,1
10333,1,1,1
10348,1,1,1
11059,1,1,1
10902,1,1,1
10392,1,1,1
10661,1,1,1
10605,1,1,1
10741,1,1,1
10684,1,1,1
10590,1,1,1
