Word,Frequency,Belonging,Score
isles,73,73,5329
robert,69,69,4761
34,71,67,4757
60,69,67,4623
36,71,65,4615
d,81,64,5184
dried,65,64,4160
michael,64,64,4096
suyama,64,64,4096
38,67,62,4154
southern,62,62,3844
markets,116,58,6728
a,93,56,5208
65,58,56,3248
ave,56,56,3136
uk,55,55,3025
northern,54,54,2916
raclette,52,52,2704
courdavault,52,52,2704
sir,52,52,2704
rodney,52,52,2704
gnocchi,50,50,2500
nonna,50,50,2500
gorgonzola,50,50,2500
telino,50,50,2500
55,50,48,2400
queso,48,48,2304
st,48,48,2304
guaraná,48,48,2304
fantástica,48,48,2304
tarte,47,47,2209
au,47,47,2209
sucre,47,47,2209
camembert,47,47,2209
pierrot,47,47,2209
67,48,46,2208
lager,46,46,2116
43,46,45,2070
jack,45,45,2025
new,45,45,2025
england,45,45,2025
clam,45,45,2025
chowder,45,45,2025
29,44,44,1936
rhönbräu,44,44,1936
klosterbier,44,44,1936
sauce,43,43,1849
32,43,43,1849
49,44,42,1848
venezuela,42,42,1764
anne,42,42,1764
dodsworth,42,42,1764
steven,42,42,1764
buchanan,42,42,1764
flotemysost,41,41,1681
90,41,40,1640
boston,40,40,1600
crab,40,40,1600
meat,40,40,1600
39,40,39,1560
pavlova,39,39,1521
chang,39,39,1521
rua,39,39,1521
mix,38,38,1444
lakkalikööri,38,38,1444
manjimup,38,38,1444
apples,38,38,1444
mozzarella,38,38,1444
giovanni,38,38,1444
austria,38,38,1444
louisiana,38,37,1406
hot,38,37,1406
chai,37,37,1369
konbu,37,37,1369
outback,37,37,1369
sweden,37,37,1369
187,37,37,1369
scones,37,37,1369
teatime,36,36,1296
chocolate,36,36,1296
biscuits,36,36,1296
original,36,36,1296
frankfurter,36,36,1296
grüne,36,36,1296
soße,36,36,1296
mutton,36,36,1296
cabrales,35,35,1225
tourtière,35,35,1225
steeleye,35,35,1225
stout,35,35,1225
la,51,34,1734
av,34,34,1156
42,34,34,1156
89,35,33,1155
scottish,33,33,1089
longbreads,33,33,1089
rio,33,33,1089
janeiro,33,33,1089
stop,64,32,2048
anton,33,32,1056
tofu,32,32,1024
ikura,32,32,1024
pâté,32,32,1024
chinois,32,32,1024
thüringer,32,32,1024
rostbratwurst,32,32,1024
123,32,32,1024
london,32,32,1024
save,62,31,1922
lot,62,31,1922
do,39,31,1209
inlagd,31,31,961
sill,31,31,961
gumbär,31,31,961
gummibärchen,31,31,961
suffolk,31,31,961
ln,31,31,961
boise,31,31,961
83720,31,31,961
savea,31,31,961
gudbrandsdalsost,31,31,961
fiery,31,31,961
pepper,31,31,961
nord,31,31,961
ost,31,31,961
matjeshering,31,31,961
360,33,30,990
70,32,30,960
singaporean,30,30,900
hokkien,30,30,900
fried,30,30,900
mee,30,30,900
sao,30,30,900
paulo,30,30,900
carrera,29,29,841
con,29,29,841
canada,29,29,841
53,29,29,841
perth,29,29,841
pasties,29,29,841
geitost,29,29,841
chartreuse,29,29,841
verte,29,29,841
rössle,29,29,841
sauerkraut,29,29,841
quick,84,28,2352
ernst,56,28,1568
handel,56,28,1568
b,37,28,1036
33,30,28,840
taucherstraße,28,28,784
cunewalde,28,28,784
1307,28,28,784
filo,28,28,784
scandinavia,28,28,784
kirchgasse,28,28,784
graz,28,28,784
8010,28,28,784
ernsh,28,28,784
wimmers,28,28,784
gute,28,28,784
semmelknödel,28,28,784
ale,36,27,972
62,28,27,756
chef,28,27,756
italy,27,27,729
uncle,27,27,729
bob,27,27,729
organic,27,27,729
pears,27,27,729
spread,27,27,729
44,26,26,676
carnarvon,26,26,676
tigers,26,26,676
ipoh,26,26,676
coffee,26,26,676
blvd,25,25,625
120,25,24,600
gula,24,24,576
malacca,24,24,576
spegesild,24,24,576
côte,24,24,576
blaye,24,24,576
méxico,24,24,576
f,24,24,576
central,24,24,576
mexico,24,24,576
hungry,46,23,1058
100,24,23,552
sirop,23,23,529
érable,23,23,529
79,23,23,529
210,24,22,528
57,22,22,484
80,22,22,484
san,22,22,484
300,22,22,484
finland,22,22,484
dr,22,22,484
spain,22,22,484
zaanse,21,21,441
koeken,21,21,441
180,21,21,441
46,21,21,441
the,40,20,800
maison,40,20,800
900,21,20,420
48,21,20,420
ravioli,20,20,400
angelo,20,20,400
des,20,20,400
folk,38,19,722
och,38,19,722
fä,38,19,722
hb,38,19,722
5022,19,19,361
tunnbröd,19,19,361
åkergatan,19,19,361
bräcke,19,19,361
844,19,19,361
folko,19,19,361
958,19,19,361
belgium,19,19,361
02389,19,19,361
rd,19,19,361
hilarion,36,18,648
abastos,36,18,648
owl,36,18,648
all,36,18,648
night,36,18,648
grocers,36,18,648
berglunds,36,18,648
snabbköp,36,18,648
gourmet,36,18,648
98,19,18,342
52,19,18,342
288,19,18,342
carlos,18,18,324
soublette,18,18,324
cristóbal,18,18,324
hilaa,18,18,324
escargots,18,18,324
bourgogne,18,18,324
johnstown,18,18,324
road,18,18,324
cork,18,18,324
none,18,18,324
ireland,18,18,324
hungo,18,18,324
berguvsvägen,18,18,324
luleå,18,18,324
bergs,18,18,324
maxilaku,18,18,324
cajun,18,18,324
seasoning,18,18,324
nunuca,18,18,324
nuß,18,18,324
nougat,18,18,324
creme,18,18,324
sasquatch,18,18,324
rattlesnake,34,17,578
canyon,34,17,578
grocery,34,17,578
du,25,17,425
n,21,17,357
2817,17,17,289
milton,17,17,289
albuquerque,17,17,289
87110,17,17,289
rattc,17,17,289
vegie,17,17,289
263,17,17,289
dos,17,17,289
denmark,17,17,289
switzerland,17,17,289
et,32,16,512
bon,32,16,512
app,32,16,512
via,16,16,256
bouchers,16,16,256
marseille,16,16,256
13008,16,16,256
bonap,16,16,256
wartian,30,15,450
herkku,30,15,450
eastern,23,15,345
p,21,15,315
romero,20,15,300
39999999999999,17,15,255
420,17,15,255
570,17,15,255
marmalade,15,15,225
240,15,15,225
54,15,15,225
600,15,15,225
torikatu,15,15,225
oulu,15,15,225
90110,15,15,225
warth,15,15,225
250,15,15,225
königlich,28,14,392
essen,28,14,392
hanari,28,14,392
carnes,28,14,392
white,28,14,392
clover,28,14,392
lehmanns,28,14,392
marktstand,28,14,392
frankenversand,28,14,392
60000000000002,15,14,210
400,15,14,210
maubelstr,14,14,196
brandenburg,14,14,196
14776,14,14,196
koene,14,14,196
buenos,14,14,196
aires,14,14,196
1010,14,14,196
argentina,14,14,196
gustaf,14,14,196
knäckebröd,14,14,196
paço,14,14,196
05454,14,14,196
876,14,14,196
hanar,14,14,196
1029,14,14,196
12th,14,14,196
seattle,14,14,196
98124,14,14,196
whitc,14,14,196
442,14,14,196
magazinweg,14,14,196
frankfurt,14,14,196
m,14,14,196
60528,14,14,196
lehms,14,14,196
berliner,14,14,196
platz,14,14,196
münchen,14,14,196
80805,14,14,196
frank,14,14,196
380,14,14,196
da,14,14,196
rogede,14,14,196
sild,14,14,196
way,14,14,196
252,14,14,196
5033,14,14,196
mère,26,13,338
paillarde,26,13,338
around,26,13,338
horn,26,13,338
asie,26,13,338
bottom,26,13,338
dollar,26,13,338
tsawassen,26,13,338
1999999999999,16,13,208
200,14,13,182
manchego,13,13,169
pastora,13,13,169
760,13,13,169
laurent,13,13,169
montréal,13,13,169
h1j,13,13,169
1c3,13,13,169
merep,13,13,169
720,13,13,169
brook,13,13,169
farm,13,13,169
stratford,13,13,169
mary,13,13,169
colchester,13,13,169
co7,13,13,169
6jx,13,13,169
arout,13,13,169
mascarpone,13,13,169
fabioli,13,13,169
alsace,13,13,169
lorraine,13,13,169
toulouse,13,13,169
31000,13,13,169
lamai,13,13,169
t2f,13,13,169
8m4,13,13,169
bottm,13,13,169
124,13,13,169
255,13,13,169
house,13,13,169
avda,13,13,169
lisboa,13,13,169
portugal,13,13,169
030,13,13,169
queen,36,12,432
suprêmes,24,12,288
délices,24,12,288
cozinha,24,12,288
delikatessen,24,12,288
comidas,24,12,288
box,15,12,180
laughing,15,12,180
144,14,12,168
110,14,12,168
112,14,12,168
northwoods,12,12,144
cranberry,12,12,144
81,12,12,144
röd,12,12,144
kaviar,12,12,144
boulevard,12,12,144
tirou,12,12,144
charleroi,12,12,144
6000,12,12,144
suprd,12,12,144
longlife,12,12,144
alameda,12,12,144
canàrios,12,12,144
891,12,12,144
05487,12,12,144
020,12,12,144
c,12,12,144
lino,22,11,242
delicateses,22,11,242
lila,22,11,242
supermercado,22,11,242
père,22,11,242
fils,22,11,242
reggiani,22,11,242
caseifici,22,11,242
restaurante,22,11,242
vaffeljernet,22,11,242
336,13,11,143
285,12,11,132
96,12,11,132
450,12,11,132
mayo,11,11,121
porlamar,11,11,121
i,11,11,121
margarita,11,11,121
4980,11,11,121
linod,11,11,121
aniseed,11,11,121
syrup,11,11,121
bolívar,11,11,121
llano,11,11,121
largo,11,11,121
barquisimeto,11,11,121
3508,11,11,121
lilas,11,11,121
92,11,11,121
blondel,11,11,121
place,11,11,121
kléber,11,11,121
strasbourg,11,11,121
67000,11,11,121
blonp,11,11,121
blondesddsl,11,11,121
99,11,11,121
strada,11,11,121
provinciale,11,11,121
reggio,11,11,121
emilia,11,11,121
42100,11,11,121
reggc,11,11,121
smagsloget,11,11,121
århus,11,11,121
8200,11,11,121
vaffe,11,11,121
portland,11,11,121
godos,30,10,300
magazzini,20,10,200
alimentari,20,10,200
riuniti,20,10,200
ottilies,20,10,200
käseladen,20,10,200
die,20,10,200
wandernde,20,10,200
kuh,20,10,200
ricardo,20,10,200
adocicados,20,10,200
island,20,10,200
trading,20,10,200
piccolo,20,10,200
und,20,10,200
mehr,20,10,200
old,20,10,200
world,20,10,200
delicatessen,20,10,200
cocina,20,10,200
típica,20,10,200
39999999999998,12,10,120
79999999999995,11,10,110
140,11,10,110
78,11,10,110
72,11,10,110
390,11,10,110
ludovico,10,10,100
il,10,10,100
moro,10,10,100
bergamo,10,10,100
24100,10,10,100
magaa,10,10,100
mehrheimerstr,10,10,100
369,10,10,100
köln,10,10,100
50739,10,10,100
ottik,10,10,100
77,10,10,100
gumbo,10,10,100
grandma,10,10,100
boysenberry,10,10,100
adenauerallee,10,10,100
stuttgart,10,10,100
70563,10,10,100
wandk,10,10,100
copacabana,10,10,100
267,10,10,100
890,10,10,100
ricar,10,10,100
garden,10,10,100
crowther,10,10,100
cowes,10,10,100
po31,10,10,100
7pj,10,10,100
islat,10,10,100
geislweg,10,10,100
salzburg,10,10,100
5020,10,10,100
picco,10,10,100
59999999999997,10,10,100
84,10,10,100
2743,10,10,100
bering,10,10,100
anchorage,10,10,100
99508,10,10,100
oldwo,10,10,100
168,10,10,100
sevilla,10,10,100
41101,10,10,100
532,10,10,100
great,18,9,162
lakes,18,9,162
food,18,9,162
market,18,9,162
wellington,18,9,162
importadora,18,9,162
split,18,9,162
rail,18,9,162
beer,18,9,162
que,18,9,162
delícia,18,9,162
beverages,18,9,162
seven,18,9,162
seas,18,9,162
imports,18,9,162
lanchonetes,18,9,162
tortuga,18,9,162
y,18,9,162
victuailles,18,9,162
en,18,9,162
stock,18,9,162
richter,18,9,162
supermarkt,18,9,162
del,14,9,126
560,11,9,99
108,11,9,99
155,11,9,99
608,10,9,90
1140,10,9,90
516,10,9,90
68,10,9,90
315,10,9,90
2732,9,9,81
baker,9,9,81
eugene,9,9,81
97403,9,9,81
greal,9,9,81
l,9,9,81
valkoinen,9,9,81
suklaa,9,9,81
mercado,9,9,81
resende,9,9,81
08737,9,9,81
363,9,9,81
welli,9,9,81
540,9,9,81
schoggi,9,9,81
schokolade,9,9,81
414,9,9,81
80000000000001,9,9,81
840,9,9,81
o,9,9,81
555,9,9,81
lander,9,9,81
82520,9,9,81
splir,9,9,81
panificadora,9,9,81
673,9,9,81
quede,9,9,81
fauntleroy,9,9,81
circus,9,9,81
ec2,9,9,81
5nt,9,9,81
bsbev,9,9,81
wadhurst,9,9,81
ox15,9,9,81
4nb,9,9,81
seves,9,9,81
brasil,9,9,81
campinas,9,9,81
04876,9,9,81
786,9,9,81
gourl,9,9,81
azteca,9,9,81
tortu,9,9,81
commerce,9,9,81
lyon,9,9,81
69004,9,9,81
victe,9,9,81
190,9,9,81
504,9,9,81
starenweg,9,9,81
genève,9,9,81
1204,9,9,81
ricsu,9,9,81
1675,9,9,81
lumberjack,9,9,81
connection,16,8,128
monde,16,8,128
furia,16,8,128
bacalhau,16,8,128
e,16,8,128
frutos,16,8,128
mar,16,8,128
chop,16,8,128
suey,16,8,128
chinese,16,8,128
86,10,8,80
912,10,8,80
280,10,8,80
193,9,8,72
195,8,8,64
550,8,8,64
432,8,8,64
george,8,8,64
wx3,8,8,64
6fw,8,8,64
eastc,8,8,64
64,8,8,64
suite,8,8,64
750,8,8,64
184,8,8,64
234,8,8,64
135,8,8,64
225,8,8,64
jardim,8,8,64
das,8,8,64
rosas,8,8,64
furib,8,8,64
396,8,8,64
480,8,8,64
hauptstr,8,8,64
bern,8,8,64
3012,8,8,64
chops,8,8,64
wilman,14,7,98
kala,14,7,98
wolski,14,7,98
zajazd,14,7,98
lonesome,14,7,98
pine,14,7,98
restaurant,14,7,98
familia,14,7,98
arquibaldo,14,7,98
dewey,14,7,98
store,14,7,98
310,9,7,63
625,9,7,63
468,9,7,63
320,8,7,56
364,8,7,56
388,8,7,56
150,8,7,56
372,8,7,56
1440,8,7,56
630,8,7,56
20000000000002,7,7,49
keskuskatu,7,7,49
helsinki,7,7,49
21240,7,7,49
wilmk,7,7,49
228,7,7,49
56,7,7,49
216,7,7,49
spiced,7,7,49
okra,7,7,49
1060,7,7,49
nantes,7,7,49
44000,7,7,49
58,7,7,49
1756,7,7,49
59,7,7,49
ul,7,7,49
filtrowa,7,7,49
warszawa,7,7,49
012,7,7,49
poland,7,7,49
wolza,7,7,49
chiaroscuro,7,7,49
97219,7,7,49
lonep,7,7,49
orós,7,7,49
05442,7,7,49
famia,7,7,49
1080,7,7,49
joseph,7,7,49
bens,7,7,49
bruxelles,7,7,49
1180,7,7,49
maisd,7,7,49
madrid,7,7,49
95,7,7,49
futterkiste,12,6,72
blauer,12,6,72
see,12,6,72
santé,12,6,72
simons,12,6,72
bistro,12,6,72
toms,12,6,72
spezialitäten,12,6,72
hipermercados,12,6,72
franchi,12,6,72
drachenblut,12,6,72
500,8,6,48
147,8,6,48
525,7,6,42
9999999999999,7,6,42
alfreds,7,6,42
192,7,6,42
136,7,6,42
270,7,6,42
159,6,6,36
258,6,6,36
408,6,6,36
378,6,6,36
obere,6,6,36
str,6,6,36
berlin,6,6,36
12209,6,6,36
alfki,6,6,36
chocolade,6,6,36
276,6,6,36
87,6,6,36
gravad,6,6,36
lax,6,6,36
640,6,6,36
forsterstr,6,6,36
mannheim,6,6,36
68306,6,6,36
blaus,6,6,36
erling,6,6,36
skakkes,6,6,36
gate,6,6,36
stavern,6,6,36
4110,6,6,36
norway,6,6,36
santg,6,6,36
624,6,6,36
312,6,6,36
115,6,6,36
vinbæltet,6,6,36
kobenhavn,6,6,36
1734,6,6,36
simob,6,6,36
luisenstr,6,6,36
münster,6,6,36
44087,6,6,36
tomsp,6,6,36
322,6,6,36
tradiçao,6,6,36
inês,6,6,36
castro,6,6,36
05634,6,6,36
tradh,6,6,36
tradição,6,6,36
325,6,6,36
monte,6,6,36
bianco,6,6,36
torino,6,6,36
10100,6,6,36
frans,6,6,36
genen,6,6,36
shouyu,6,6,36
456,6,6,36
walserweg,6,6,36
aachen,6,6,36
52066,6,6,36
dracd,6,6,36
37,6,6,36
galería,10,5,50
folies,10,5,50
gourmandes,10,5,50
princesa,10,5,50
isabel,10,5,50
vinhos,10,5,50
morgenstern,10,5,50
gesundkost,10,5,50
pericles,10,5,50
clásicas,10,5,50
vins,10,5,50
alcools,10,5,50
chevalier,10,5,50
comércio,10,5,50
mineiro,10,5,50
océano,10,5,50
atlántico,10,5,50
ltda,10,5,50
antonio,10,5,50
moreno,10,5,50
taquería,10,5,50
cactus,10,5,50
para,10,5,50
llevar,10,5,50
tomillo,10,5,50
coyote,10,5,50
import,10,5,50
19999999999999,7,5,35
496,6,5,30
142,6,5,30
20000000000005,6,5,30
76,6,5,30
393,6,5,30
660,6,5,30
220,6,5,30
387,6,5,30
114,6,5,30
5999999999999,6,5,30
986,5,5,25
544,5,5,25
304,5,5,25
223,5,5,25
800,5,5,25
523,5,5,25
201,5,5,25
mishi,5,5,25
kobe,5,5,25
niku,5,5,25
1317,5,5,25
gastronómo,5,5,25
rambla,5,5,25
cataluña,5,5,25
barcelona,5,5,25
8022,5,5,25
galed,5,5,25
gastrónomo,5,5,25
186,5,5,25
1560,5,5,25
517,5,5,25
645,5,5,25
2222,5,5,25
232,5,5,25
950,5,5,25
798,5,5,25
alfred,5,5,25
864,5,5,25
chaussée,5,5,25
tournai,5,5,25
lille,5,5,25
59000,5,5,25
folig,5,5,25
459,5,5,25
1380,5,5,25
1500,5,5,25
552,5,5,25
493,5,5,25
85,5,5,25
estrada,5,5,25
saúde,5,5,25
prini,5,5,25
1200,5,5,25
heerstr,5,5,25
leipzig,5,5,25
4179,5,5,25
morgk,5,5,25
816,5,5,25
397,5,5,25
calle,5,5,25
jorge,5,5,25
cash,5,5,25
321,5,5,25
peric,5,5,25
abbaye,5,5,25
reims,5,5,25
51100,5,5,25
vinet,5,5,25
lusíadas,5,5,25
05432,5,5,25
043,5,5,25
commi,5,5,25
ing,5,5,25
gustavo,5,5,25
moncada,5,5,25
8585,5,5,25
piso,5,5,25
ocean,5,5,25
mataderos,5,5,25
2312,5,5,25
5023,5,5,25
350,5,5,25
156,5,5,25
2475,5,5,25
780,5,5,25
530,5,5,25
291,5,5,25
74,5,5,25
cerrito,5,5,25
333,5,5,25
cactu,5,5,25
340,5,5,25
gran,5,5,25
vía,5,5,25
28001,5,5,25
romey,5,5,25
center,5,5,25
plaza,5,5,25
main,5,5,25
elgin,5,5,25
97827,5,5,25
hungc,5,5,25
rancho,8,4,32
grande,8,4,32
corne,8,4,32
abondance,8,4,32
let,8,4,32
shop,8,4,32
ana,8,4,32
trujillo,8,4,32
emparedados,8,4,32
helados,8,4,32
entier,8,4,32
spécialités,8,4,32
big,8,4,32
cheese,8,4,32
63,5,4,20
735,5,4,20
919,5,4,20
1650,5,4,20
1296,5,4,20
88,5,4,20
848,5,4,20
591,5,4,20
1368,4,4,16
349,4,4,16
libertador,4,4,16
ranch,4,4,16
160,4,4,16
576,4,4,16
avenue,4,4,16
versailles,4,4,16
78000,4,4,16
lacor,4,4,16
405,4,4,16
1800,4,4,16
1250,4,4,16
194,4,4,16
1050,4,4,16
318,4,4,16
152,4,4,16
292,4,4,16
736,4,4,16
437,4,4,16
260,4,4,16
684,4,4,16
157,4,4,16
348,4,4,16
polk,4,4,16
francisco,4,4,16
94117,4,4,16
letss,4,4,16
10540,4,4,16
99999999999994,4,4,16
1020,4,4,16
174,4,4,16
920,4,4,16
constitución,4,4,16
5021,4,4,16
anatr,4,4,16
1237,4,4,16
8000000000001,4,4,16
175,4,4,16
747,4,4,16
105,4,4,16
139,4,4,16
931,4,4,16
1104,4,4,16
475,4,4,16
588,4,4,16
97,4,4,16
556,4,4,16
cinquante,4,4,16
otages,4,4,16
dumon,4,4,16
153,4,4,16
79999999999998,4,4,16
490,4,4,16
440,4,4,16
997,4,4,16
lauriston,4,4,16
paris,4,4,16
75016,4,4,16
specd,4,4,16
199,4,4,16
1375,4,4,16
1100,4,4,16
620,4,4,16
jefferson,4,4,16
97201,4,4,16
thebi,4,4,16
375,4,4,16
231,4,4,16
restauration,6,3,18
bacchus,6,3,18
wine,6,3,18
cellars,6,3,18
trail,6,3,18
head,6,3,18
provisioners,6,3,18
consolidated,6,3,18
holdings,6,3,18
cracker,6,3,18
89999999999998,5,3,15
69,4,3,12
1620,4,3,12
400000000001,4,3,12
2200,4,3,12
349999999999994,4,3,12
403,4,3,12
744,4,3,12
427,4,3,12
1701,4,3,12
399,4,3,12
344,4,3,12
125,4,3,12
91,4,3,12
990,4,3,12
141,4,3,12
294,3,3,9
264,3,3,9
130,3,3,9
209,3,3,9
1215,3,3,9
1000,3,3,9
417,3,3,9
1125,3,3,9
520,3,3,9
3952,3,3,9
278,3,3,9
374,3,3,9
656,3,3,9
116,3,3,9
230,3,3,9
384,3,3,9
queensbridge,3,3,9
sw7,3,3,9
1rz,3,3,9
norts,3,3,9
1092,3,3,9
165,3,3,9
648,3,3,9
172,3,3,9
558,3,3,9
936,3,3,9
479,3,3,9
665,3,3,9
330,3,3,9
289,3,3,9
royale,3,3,9
franr,3,3,9
196,3,3,9
2310,3,3,9
392,3,3,9
104,3,3,9
855,3,3,9
655,3,3,9
1249,3,3,9
106,3,3,9
795,3,3,9
273,3,3,9
7905,3,3,9
430,3,3,9
1484,3,3,9
672,3,3,9
1925,3,3,9
819,3,3,9
1320,3,3,9
776,3,3,9
462,3,3,9
224,3,3,9
2319,3,3,9
elm,3,3,9
vancouver,3,3,9
v3f,3,3,9
2k1,3,3,9
laugb,3,3,9
154,3,3,9
162,3,3,9
2280,3,3,9
342,3,3,9
510,3,3,9
424,3,3,9
739,3,3,9
722,3,3,9
davinci,3,3,9
kirkland,3,3,9
98034,3,3,9
traih,3,3,9
295,3,3,9
860,3,3,9
932,3,3,9
498,3,3,9
berkeley,3,3,9
gardens,3,3,9
brewery,3,3,9
wx1,3,3,9
6lt,3,3,9
consh,3,3,9
441,3,3,9
111,3,3,9
1600,3,3,9
1770,3,3,9
872,3,3,9
1999999999998,3,3,9
960,3,3,9
850,3,3,9
585,3,3,9
8000000000002,3,3,9
1562,3,3,9
695,3,3,9
900000000000006,3,3,9
grizzly,3,3,9
peak,3,3,9
butte,3,3,9
59801,3,3,9
thecr,3,3,9
1112,3,3,9
grosella,4,2,8
lazy,4,2,8
k,4,2,8
kountry,4,2,8
walla,4,2,8
0600000000002,4,2,8
bólido,4,2,8
preparadas,4,2,8
149,3,2,6
182,3,2,6
851,3,2,6
121,3,2,6
878,3,2,6
4400000000005,3,2,6
439,3,2,6
537,3,2,6
651,3,2,6
212,3,2,6
15810,3,2,6
1064,3,2,6
93,3,2,6
835,3,2,6
85000000000001,3,2,6
1733,3,2,6
3463,2,2,4
443,2,2,4
2240,2,2,4
519,2,2,4
1760,2,2,4
2640,2,2,4
1218,2,2,4
1479,2,2,4
1552,2,2,4
486,2,2,4
7427,2,2,4
338,2,2,4
875,2,2,4
1075,2,2,4
352,2,2,4
51,2,2,4
599999999999994,2,2,4
1762,2,2,4
1174,2,2,4
959,2,2,4
724,2,2,4
1088,2,2,4
1472,2,2,4
1814,2,2,4
3999999999999,2,2,4
3999999999996,2,2,4
2108,2,2,4
880,2,2,4
687,2,2,4
10329,2,2,4
73,2,2,4
4216,2,2,4
2052,2,2,4
306,2,2,4
595,2,2,4
1045,2,2,4
452,2,2,4
3080,2,2,4
676,2,2,4
777,2,2,4
10741,2,2,4
650,2,2,4
208,2,2,4
400000000000006,2,2,4
1379,2,2,4
2340,2,2,4
109,2,2,4
778,2,2,4
700,2,2,4
1350,2,2,4
3900,2,2,4
772,2,2,4
412,2,2,4
10835,2,2,4
825,2,2,4
1972,2,2,4
768,2,2,4
704,2,2,4
488,2,2,4
1902,2,2,4
1875,2,2,4
834,2,2,4
1360,2,2,4
237,2,2,4
2142,2,2,4
2304,2,2,4
1150,2,2,4
910,2,2,4
670,2,2,4
133,2,2,4
680,2,2,4
1242,2,2,4
781,2,2,4
582,2,2,4
447,2,2,4
717,2,2,4
690,2,2,4
368,2,2,4
702,2,2,4
268,2,2,4
29999999999998,2,2,4
713,2,2,4
311,2,2,4
1704,2,2,4
491,2,2,4
616,2,2,4
2856,2,2,4
4456,2,2,4
2233,2,2,4
5ª,2,2,4
los,2,2,4
palos,2,2,4
grandes,2,2,4
caracas,2,2,4
1081,2,2,4
grosr,2,2,4
1044,2,2,4
146,2,2,4
262,2,2,4
2040,2,2,4
83,2,2,4
198,2,2,4
1053,2,2,4
266,2,2,4
10495,2,2,4
547,2,2,4
528,2,2,4
138,2,2,4
249,2,2,4
509,2,2,4
164,2,2,4
1170,2,2,4
1638,2,2,4
1485,2,2,4
167,2,2,4
2684,2,2,4
191,2,2,4
126,2,2,4
605,2,2,4
775,2,2,4
418,2,2,4
1035,2,2,4
69999999999999,2,2,4
647,2,2,4
1590,2,2,4
128,2,2,4
3490,2,2,4
394,2,2,4
1834,2,2,4
526,2,2,4
686,2,2,4
386,2,2,4
928,2,2,4
328,2,2,4
145,2,2,4
2048,2,2,4
319,2,2,4
472,2,2,4
90000000000003,2,2,4
1008,2,2,4
09999999999997,2,2,4
248,2,2,4
131,2,2,4
711,2,2,4
629,2,2,4
714,2,2,4
10588,2,2,4
1030,2,2,4
2170,2,2,4
3127,2,2,4
1576,2,2,4
763,2,2,4
568,2,2,4
667,2,2,4
2736,2,2,4
1032,2,2,4
631,2,2,4
1710,2,2,4
2545,2,2,4
259,2,2,4
1887,2,2,4
1596,2,2,4
102,2,2,4
728,2,2,4
954,2,2,4
orchestra,2,2,4
terrace,2,2,4
99362,2,2,4
lazyk,2,2,4
477,2,2,4
524,2,2,4
742,2,2,4
930,2,2,4
1290,2,2,4
279,2,2,4
47,2,2,4
843,2,2,4
1820,2,2,4
796,2,2,4
256,2,2,4
1152,2,2,4
730,2,2,4
2275,2,2,4
562,2,2,4
810,2,2,4
522,2,2,4
697,2,2,4
1520,2,2,4
7999999999997,2,2,4
448,2,2,4
2760,2,2,4
1632,2,2,4
1093,2,2,4
1980,2,2,4
1255,2,2,4
2775,2,2,4
324,2,2,4
543,2,2,4
araquil,2,2,4
28023,2,2,4
bolid,2,2,4
1508,2,2,4
337,2,2,4
934,2,2,4
649,2,2,4
1122,2,2,4
261,2,2,4
604,2,2,4
698,2,2,4
1700,2,2,4
103,2,1,2
centro,2,1,2
comercial,2,1,2
moctezuma,2,1,2
1684,2,1,2
