Word,Frequency,Belonging,Score
thüringer,32,32,1024
rostbratwurst,32,32,1024
fiery,32,32,1024
pepper,32,32,1024
69,32,32,1024
sao,31,31,961
paulo,31,31,961
savea,31,31,961
jose,31,31,961
pavarotti,31,31,961
suffolk,31,31,961
ln,31,31,961
boise,31,31,961
83720,31,31,961
208,31,31,961
8097,31,31,961
inlagd,31,31,961
sill,31,31,961
gudbrandsdalsost,31,31,961
geitost,31,31,961
7675,60,30,1800
canada,30,30,900
chartreuse,30,30,900
verte,30,30,900
perth,30,30,900
pasties,30,30,900
ernsh,30,30,900
roland,30,30,900
mendel,30,30,900
kirchgasse,30,30,900
graz,30,30,900
8010,30,30,900
3425,30,30,900
3426,30,30,900
singaporean,30,30,900
hokkien,30,30,900
fried,30,30,900
mee,30,30,900
wimmers,30,30,900
gute,30,30,900
semmelknödel,30,30,900
chef,30,29,870
spread,29,29,841
filo,29,29,841
uncle,29,29,841
bob,29,29,841
organic,29,29,841
pears,29,29,841
503,41,28,1148
ipoh,28,28,784
coffee,28,28,784
blvd,28,28,784
quick,28,28,784
horst,28,28,784
kloss,28,28,784
taucherstraße,28,28,784
cunewalde,28,28,784
01307,28,28,784
0372,28,28,784
035188,28,28,784
méxico,28,28,784
f,28,28,784
mexico,28,28,784
italy,28,28,784
91,55,27,1485
spegesild,27,27,729
carnarvon,27,27,729
tigers,27,27,729
paula,27,27,729
wilson,26,26,676
86,35,24,840
3745,30,24,720
maria,24,24,576
gula,24,24,576
malacca,24,24,576
côte,24,24,576
blaye,24,24,576
dr,24,24,576
sirop,24,24,576
érable,24,24,576
ravioli,23,23,529
angelo,23,23,529
spain,23,23,529
do,23,23,529
58,23,23,529
120,22,22,484
san,22,22,484
79,22,22,484
suite,22,22,484
finland,22,22,484
98,27,21,567
zaanse,21,21,441
koeken,21,21,441
maxilaku,21,21,441
des,21,21,441
tunnbröd,20,20,400
rd,20,20,400
cajun,20,20,400
seasoning,20,20,400
a,20,20,400
2967,38,19,722
93,36,19,684
030,25,19,475
b,19,19,361
belgium,19,19,361
63,19,19,361
02389,19,19,361
sasquatch,19,19,361
ale,19,19,361
hungo,19,19,361
patricia,19,19,361
mckenna,19,19,361
johnstown,19,19,361
road,19,19,361
cork,19,19,361
ireland,19,19,361
542,19,19,361
3333,19,19,361
958,19,19,361
505,36,18,648
0921,36,18,648
88,33,18,594
dos,18,18,324
folko,18,18,324
larsson,18,18,324
åkergatan,18,18,324
bräcke,18,18,324
844,18,18,324
0695,18,18,324
la,18,18,324
4729,18,18,324
hilaa,18,18,324
hernández,18,18,324
soublette,18,18,324
cristóbal,18,18,324
5022,18,18,324
1340,18,18,324
1948,18,18,324
denmark,18,18,324
escargots,18,18,324
bourgogne,18,18,324
48,18,18,324
switzerland,18,18,324
rattc,18,18,324
2817,18,18,324
milton,18,18,324
albuquerque,18,18,324
87110,18,18,324
5939,18,18,324
3620,18,18,324
bergs,18,18,324
christina,18,18,324
berglund,18,18,324
berguvsvägen,18,18,324
luleå,18,18,324
nunuca,18,18,324
nuß,18,18,324
nougat,18,18,324
creme,18,18,324
604,34,17,578
206,34,17,578
78,27,17,459
elizabeth,17,17,289
vegie,17,17,289
bonap,17,17,289
laurence,17,17,289
lebihan,17,17,289
bouchers,17,17,289
marseille,17,17,289
13008,17,17,289
buenos,16,16,256
aires,16,16,256
1010,16,16,256
argentina,16,16,256
263,16,16,256
05033,16,16,256
80,16,16,256
305,16,16,256
via,16,16,256
marmalade,16,16,256
089,30,15,450
981,30,15,450
443655,30,15,450
069,30,15,450
331,29,15,435
frank,15,15,225
peter,15,15,225
franken,15,15,225
berliner,15,15,225
platz,15,15,225
münchen,15,15,225
80805,15,15,225
0877310,15,15,225
0877451,15,15,225
pedro,15,15,225
900,15,15,225
73,15,15,225
warth,15,15,225
pirkko,15,15,225
koskitalo,15,15,225
torikatu,15,15,225
oulu,15,15,225
90110,15,15,225
mascarpone,15,15,225
fabioli,15,15,225
lehms,15,15,225
renate,15,15,225
messner,15,15,225
magazinweg,15,15,225
frankfurt,15,15,225
m,15,15,225
60528,15,15,225
0245984,15,15,225
0245874,15,15,225
tsawassen,28,14,392
514,27,14,378
6750,14,14,196
lilas,14,14,196
gonzález,14,14,196
bolívar,14,14,196
llano,14,14,196
largo,14,14,196
barquisimeto,14,14,196
3508,14,14,196
6954,14,14,196
7256,14,14,196
manchego,14,14,196
pastora,14,14,196
bottm,14,14,196
lincoln,14,14,196
t2f,14,14,196
8m4,14,14,196
da,14,14,196
lamai,14,14,196
annette,14,14,196
roulet,14,14,196
alsace,14,14,196
lorraine,14,14,196
toulouse,14,14,196
31000,14,14,196
koene,14,14,196
philip,14,14,196
cramer,14,14,196
maubelstr,14,14,196
brandenburg,14,14,196
14776,14,14,196
0555,14,14,196
09876,14,14,196
avda,14,14,196
hanar,14,14,196
mario,14,14,196
pontes,14,14,196
paço,14,14,196
05454,14,14,196
876,14,14,196
0091,14,14,196
8765,14,14,196
87,14,14,196
way,14,14,196
whitc,14,14,196
karl,14,14,196
jablonski,14,14,196
14th,14,14,196
3b,14,14,196
seattle,14,14,196
98128,14,14,196
4112,14,14,196
4115,14,14,196
röd,14,14,196
kaviar,14,14,196
rogede,14,14,196
sild,14,14,196
gustaf,14,14,196
knäckebröd,14,14,196
82,23,13,299
92,19,13,247
arout,13,13,169
thomas,13,13,169
hardy,13,13,169
hanover,13,13,169
sq,13,13,169
wa1,13,13,169
1dp,13,13,169
7788,13,13,169
queen,13,13,169
lúcia,13,13,169
carvalho,13,13,169
alameda,13,13,169
canàrios,13,13,169
891,13,13,169
05487,13,13,169
020,13,13,169
1189,13,13,169
c,13,13,169
99,13,13,169
merep,13,13,169
jean,13,13,169
fresnière,13,13,169
laurent,13,13,169
montréal,13,13,169
h1j,13,13,169
1c3,13,13,169
8054,13,13,169
8055,13,13,169
house,13,13,169
crowther,13,13,169
northwoods,13,13,169
cranberry,13,13,169
74,13,13,169
longlife,13,13,169
n,13,13,169
lisboa,13,13,169
portugal,13,13,169
071,24,12,288
0522,24,12,288
suprd,12,12,144
pascale,12,12,144
cartrain,12,12,144
boulevard,12,12,144
tirou,12,12,144
255,12,12,144
charleroi,12,12,144
6000,12,12,144
95,12,12,144
portland,12,12,144
linod,12,12,144
felipe,12,12,144
izquierdo,12,12,144
mayo,12,12,144
porlamar,12,12,144
i,12,12,144
margarita,12,12,144
4980,12,12,144
aniseed,12,12,144
syrup,12,12,144
81,12,12,144
reggc,12,12,144
maurizio,12,12,144
moroni,12,12,144
strada,12,12,144
provinciale,12,12,144
124,12,12,144
reggio,12,12,144
emilia,12,12,144
42100,12,12,144
556721,12,12,144
556722,12,12,144
grandma,12,12,144
boysenberry,12,12,144
135,22,11,242
5555,11,11,121
vaffe,11,11,121
palle,11,11,121
ibsen,11,11,121
smagsloget,11,11,121
århus,11,11,121
8200,11,11,121
greal,11,11,121
howard,11,11,121
snyder,11,11,121
2732,11,11,121
baker,11,11,121
eugene,11,11,121
97403,11,11,121
7555,11,11,121
237,11,11,121
1203,11,11,121
castro,11,11,121
blonp,11,11,121
frédérique,11,11,121
citeaux,11,11,121
place,11,11,121
kléber,11,11,121
strasbourg,11,11,121
67000,11,11,121
0221,20,10,200
6562,20,10,200
035,20,10,200
907,20,10,200
307,19,10,190
100,11,10,110
210,10,10,100
tortu,10,10,100
miguel,10,10,100
angel,10,10,100
paolino,10,10,100
azteca,10,10,100
2933,10,10,100
ottik,10,10,100
henriette,10,10,100
pfalzheim,10,10,100
mehrheimerstr,10,10,100
369,10,10,100
köln,10,10,100
50739,10,10,100
0644327,10,10,100
0765721,10,10,100
godos,10,10,100
josé,10,10,100
freyre,10,10,100
romero,10,10,100
sevilla,10,10,100
41101,10,10,100
valkoinen,10,10,100
suklaa,10,10,100
ricar,10,10,100
janete,10,10,100
limeira,10,10,100
copacabana,10,10,100
267,10,10,100
890,10,10,100
3412,10,10,100
islat,10,10,100
helen,10,10,100
bennett,10,10,100
garden,10,10,100
cowes,10,10,100
po31,10,10,100
7pj,10,10,100
198,10,10,100
8888,10,10,100
ricsu,10,10,100
michael,10,10,100
holz,10,10,100
grenzacherweg,10,10,100
genève,10,10,100
0897,10,10,100
034214,10,10,100
gumbo,10,10,100
victe,10,10,100
mary,10,10,100
saveley,10,10,100
du,10,10,100
commerce,10,10,100
lyon,10,10,100
69004,10,10,100
bsbev,10,10,100
victoria,10,10,100
ashworth,10,10,100
fauntleroy,10,10,100
circus,10,10,100
ec2,10,10,100
5nt,10,10,100
1212,10,10,100
442,10,10,100
picco,10,10,100
georg,10,10,100
pipps,10,10,100
geislweg,10,10,100
salzburg,10,10,100
5020,10,10,100
9722,10,10,100
9723,10,10,100
magaa,10,10,100
rovelli,10,10,100
ludovico,10,10,100
il,10,10,100
moro,10,10,100
bergamo,10,10,100
24100,10,10,100
640230,10,10,100
640231,10,10,100
laughing,10,10,100
lumberjack,10,10,100
oldwo,10,10,100
rene,10,10,100
phillips,10,10,100
2743,10,10,100
bering,10,10,100
anchorage,10,10,100
99508,10,10,100
7584,10,10,100
2880,10,10,100
0711,18,9,162
quede,9,9,81
bernardo,9,9,81
batista,9,9,81
panificadora,9,9,81
673,9,9,81
4252,9,9,81
4545,9,9,81
l,9,9,81
66,9,9,81
wandk,9,9,81
rita,9,9,81
müller,9,9,81
adenauerallee,9,9,81
stuttgart,9,9,81
70563,9,9,81
020361,9,9,81
035428,9,9,81
splir,9,9,81
art,9,9,81
braunschweiger,9,9,81
p,9,9,81
o,9,9,81
box,9,9,81
lander,9,9,81
82520,9,9,81
4680,9,9,81
6525,9,9,81
gourl,9,9,81
andré,9,9,81
fonseca,9,9,81
brasil,9,9,81
campinas,9,9,81
04876,9,9,81
786,9,9,81
9482,9,9,81
1675,9,9,81
schoggi,9,9,81
schokolade,9,9,81
seves,9,9,81
hari,9,9,81
kumar,9,9,81
wadhurst,9,9,81
ox15,9,9,81
4nb,9,9,81
1717,9,9,81
5646,9,9,81
welli,9,9,81
parente,9,9,81
mercado,9,9,81
resende,9,9,81
08737,9,9,81
363,9,9,81
8122,9,9,81
354,16,8,128
642,15,8,120
madrid,8,8,64
lonep,8,8,64
fran,8,8,64
chiaroscuro,8,8,64
97219,8,8,64
9573,8,8,64
9646,8,8,64
spiced,8,8,64
okra,8,8,64
eastc,8,8,64
ann,8,8,64
devon,8,8,64
king,8,8,64
george,8,8,64
wx3,8,8,64
6fw,8,8,64
0297,8,8,64
3373,8,8,64
chops,8,8,64
yang,8,8,64
wang,8,8,64
hauptstr,8,8,64
bern,8,8,64
3012,8,8,64
0452,8,8,64
076545,8,8,64
85,8,8,64
furib,8,8,64
lino,8,8,64
rodriguez,8,8,64
jardim,8,8,64
das,8,8,64
rosas,8,8,64
2534,8,8,64
2535,8,8,64
yoshi,8,8,64
7012,14,7,98
0621,14,7,98
201,14,7,98
224,14,7,98
8858,14,7,98
wolza,7,7,49
zbyszek,7,7,49
piestrzeniewicz,7,7,49
ul,7,7,49
filtrowa,7,7,49
warszawa,7,7,49
012,7,7,49
poland,7,7,49
516,7,7,49
antonio,7,7,49
moreno,7,7,49
mataderos,7,7,49
2312,7,7,49
05023,7,7,49
3932,7,7,49
simob,7,7,49
jytte,7,7,49
petersen,7,7,49
vinbæltet,7,7,49
kobenhavn,7,7,49
1734,7,7,49
414,7,7,49
blaus,7,7,49
hanna,7,7,49
moos,7,7,49
forsterstr,7,7,49
mannheim,7,7,49
68306,7,7,49
08460,7,7,49
08924,7,7,49
maisd,7,7,49
catherine,7,7,49
dewey,7,7,49
joseph,7,7,49
bens,7,7,49
532,7,7,49
bruxelles,7,7,49
1180,7,7,49
famia,7,7,49
aria,7,7,49
cruz,7,7,49
orós,7,7,49
05442,7,7,49
9857,7,7,49
nantes,7,7,49
44000,7,7,49
552,7,7,49
wilmk,7,7,49
matti,7,7,49
karttunen,7,7,49
keskuskatu,7,7,49
helsinki,7,7,49
21240,7,7,49
011,12,6,72
0241,12,6,72
0251,12,6,72
cactu,6,6,36
patricio,6,6,36
simpson,6,6,36
cerrito,6,6,36
333,6,6,36
4892,6,6,36
genen,6,6,36
shouyu,6,6,36
37,6,6,36
gravad,6,6,36
lax,6,6,36
chocolade,6,6,36
tradh,6,6,36
anabela,6,6,36
domingues,6,6,36
inês,6,6,36
05634,6,6,36
2167,6,6,36
2168,6,6,36
santg,6,6,36
jonas,6,6,36
bergulfsen,6,6,36
erling,6,6,36
skakkes,6,6,36
gate,6,6,36
stavern,6,6,36
4110,6,6,36
norway,6,6,36
frans,6,6,36
paolo,6,6,36
accorti,6,6,36
monte,6,6,36
bianco,6,6,36
torino,6,6,36
10100,6,6,36
4988260,6,6,36
4988261,6,6,36
dracd,6,6,36
sven,6,6,36
ottlieb,6,6,36
walserweg,6,6,36
aachen,6,6,36
52066,6,6,36
039123,6,6,36
059428,6,6,36
tomsp,6,6,36
karin,6,6,36
josephs,6,6,36
luisenstr,6,6,36
münster,6,6,36
44087,6,6,36
031259,6,6,36
035695,6,6,36
84,6,6,36
alfki,6,6,36
anders,6,6,36
obere,6,6,36
str,6,6,36
berlin,6,6,36
12209,6,6,36
0074321,6,6,36
0076545,6,6,36
peric,6,6,36
guillermo,6,6,36
fernández,6,6,36
calle,6,6,36
jorge,6,6,36
cash,6,6,36
321,6,6,36
545,6,6,36
203,10,5,50
moncada,10,5,50
745,10,5,50
vinet,5,5,25
paul,5,5,25
henriot,5,5,25
abbaye,5,5,25
reims,5,5,25
51100,5,5,25
francisco,5,5,25
galed,5,5,25
eduardo,5,5,25
saavedra,5,5,25
rambla,5,5,25
cataluña,5,5,25
barcelona,5,5,25
08022,5,5,25
4560,5,5,25
4561,5,5,25
folig,5,5,25
martine,5,5,25
rancé,5,5,25
184,5,5,25
chaussée,5,5,25
tournai,5,5,25
lille,5,5,25
59000,5,5,25
ocean,5,5,25
yvonne,5,5,25
ing,5,5,25
gustavo,5,5,25
8585,5,5,25
piso,5,5,25
5333,5,5,25
5535,5,5,25
20000000000005,5,5,25
2222,5,5,25
prini,5,5,25
isabel,5,5,25
estrada,5,5,25
saúde,5,5,25
1756,5,5,25
356,5,5,25
5634,5,5,25
romey,5,5,25
alejandra,5,5,25
camino,5,5,25
gran,5,5,25
vía,5,5,25
28001,5,5,25
6200,5,5,25
6210,5,5,25
110,5,5,25
300,5,5,25
mishi,5,5,25
kobe,5,5,25
niku,5,5,25
hungc,5,5,25
latimer,5,5,25
center,5,5,25
plaza,5,5,25
main,5,5,25
elgin,5,5,25
97827,5,5,25
6874,5,5,25
2376,5,5,25
commi,5,5,25
afonso,5,5,25
lusíadas,5,5,25
05432,5,5,25
043,5,5,25
7647,5,5,25
morgk,5,5,25
alexander,5,5,25
feuer,5,5,25
heerstr,5,5,25
leipzig,5,5,25
04179,5,5,25
0342,5,5,25
023176,5,5,25
360,5,5,25
ranch,5,5,25
sergio,5,5,25
gutiérrez,5,5,25
del,5,5,25
libertador,5,5,25
5556,5,5,25
specd,4,4,16
dominique,4,4,16
perrier,4,4,16
lauriston,4,4,16
paris,4,4,16
75016,4,4,16
letss,4,4,16
jaime,4,4,16
yorres,4,4,16
polk,4,4,16
94117,4,4,16
415,4,4,16
5938,4,4,16
3392,4,4,16
7293,4,4,16
anatr,4,4,16
ana,4,4,16
trujillo,4,4,16
constitución,4,4,16
05021,4,4,16
1999999999999,4,4,16
97,4,4,16
thebi,4,4,16
liz,4,4,16
nixon,4,4,16
jefferson,4,4,16
97201,4,4,16
3612,4,4,16
lacor,4,4,16
daniel,4,4,16
tonini,4,4,16
avenue,4,4,16
europe,4,4,16
versailles,4,4,16
78000,4,4,16
dumon,4,4,16
janine,4,4,16
labrune,4,4,16
cinquante,4,4,16
otages,4,4,16
406,6,3,18
509,5,3,15
1770,3,3,9
8000000000002,3,3,9
bolid,3,3,9
martín,3,3,9
sommer,3,3,9
araquil,3,3,9
28023,3,3,9
144,3,3,9
240,3,3,9
thecr,3,3,9
liu,3,3,9
wong,3,3,9
grizzly,3,3,9
peak,3,3,9
butte,3,3,9
59801,3,3,9
5834,3,3,9
8083,3,3,9
39999999999998,3,3,9
336,3,3,9
420,3,3,9
norts,3,3,9
simon,3,3,9
south,3,3,9
queensbridge,3,3,9
sw7,3,3,9
1rz,3,3,9
7733,3,3,9
2530,3,3,9
franr,3,3,9
carine,3,3,9
schmitt,3,3,9
royale,3,3,9
479,3,3,9
155,3,3,9
200,3,3,9
traih,3,3,9
helvetius,3,3,9
nagy,3,3,9
722,3,3,9
davinci,3,3,9
kirkland,3,3,9
98034,3,3,9
8257,3,3,9
2174,3,3,9
laugb,3,3,9
tannamuri,3,3,9
1900,3,3,9
oak,3,3,9
vancouver,3,3,9
v3f,3,3,9
2k1,3,3,9
625,3,3,9
consh,3,3,9
brown,3,3,9
berkeley,3,3,9
gardens,3,3,9
brewery,3,3,9
wx1,3,3,9
6lt,3,3,9
2282,3,3,9
9199,3,3,9
1296,3,3,9
walla,4,2,8
283,4,2,8
1704,2,2,4
2233,2,2,4
252,2,2,4
19999999999999,2,2,4
139,2,2,4
2048,2,2,4
2275,2,2,4
720,2,2,4
5999999999999,2,2,4
3490,2,2,4
lazyk,2,2,4
john,2,2,4
steel,2,2,4
orchestra,2,2,4
terrace,2,2,4
99362,2,2,4
7969,2,2,4
6221,2,2,4
147,2,2,4
676,2,2,4
1255,2,2,4
399,2,2,4
396,2,2,4
89999999999998,2,2,4
468,2,2,4
1701,2,2,4
493,2,2,4
912,2,2,4
920,2,2,4
1887,2,2,4
393,2,2,4
1508,2,2,4
1174,2,2,4
686,2,2,4
629,2,2,4
452,2,2,4
843,2,2,4
517,2,2,4
0600000000002,2,2,4
412,2,2,4
79999999999995,2,2,4
848,2,2,4
10835,2,2,4
7999999999997,2,2,4
3463,2,2,4
182,2,2,4
10495,2,2,4
310,2,2,4
570,2,2,4
717,2,2,4
1122,2,2,4
1902,2,2,4
928,2,2,4
108,2,2,4
136,2,2,4
1838,2,2,4
537,2,2,4
280,2,2,4
1030,2,2,4
519,2,2,4
711,2,2,4
750,2,2,4
1140,2,2,4
10741,2,2,4
338,2,2,4
1820,2,2,4
1999999999998,2,2,4
480,2,2,4
510,2,2,4
1650,2,2,4
grosr,2,2,4
manuel,2,2,4
pereira,2,2,4
5ª,2,2,4
los,2,2,4
palos,2,2,4
grandes,2,2,4
caracas,2,2,4
1081,2,2,4
2951,2,2,4
3397,2,2,4
424,2,2,4
387,2,2,4
568,2,2,4
330,2,2,4
851,2,2,4
10588,2,2,4
491,2,2,4
477,2,2,4
112,2,2,4
400000000001,2,2,4
3127,2,2,4
543,2,2,4
2142,2,2,4
954,2,2,4
796,2,2,4
858,2,2,4
39999999999999,2,2,4
2775,2,2,4
670,2,2,4
932,2,2,4
1500,2,2,4
713,2,2,4
2545,2,2,4
130,2,2,4
2684,2,2,4
586,2,2,4
800,2,2,4
1762,2,2,4
550,2,2,4
1380,2,2,4
1125,2,2,4
560,2,2,4
934,2,2,4
919,2,2,4
660,2,2,4
500,2,2,4
10707,1,1,1
11068,1,1,1
2384,1,1,1
10561,1,1,1
2844,1,1,1
10543,1,1,1
10885,1,1,1
1209,1,1,1
10944,1,1,1
1139,1,1,1
10977,1,1,1
10396,1,1,1
1903,1,1,1
10788,1,1,1
770,1,1,1
10264,1,1,1
724,1,1,1
11064,1,1,1
4722,1,1,1
10641,1,1,1
2054,1,1,1
11065,1,1,1
10587,1,1,1
807,1,1,1
10371,1,1,1
10937,1,1,1
644,1,1,1
10817,1,1,1
11490,1,1,1
11028,1,1,1
2160,1,1,1
10801,1,1,1
4035,1,1,1
10424,1,1,1
11493,1,1,1
10319,1,1,1
1191,1,1,1
10737,1,1,1
10783,1,1,1
1442,1,1,1
10554,1,1,1
1819,1,1,1
10503,1,1,1
10390,1,1,1
10960,1,1,1
276,1,1,1
10274,1,1,1
538,1,1,1
10780,1,1,1
11044,1,1,1
591,1,1,1
10738,1,1,1
349999999999994,1,1,1
10948,1,1,1
2362,1,1,1
10877,1,1,1
2086,1,1,1
10579,1,1,1
317,1,1,1
10688,1,1,1
10845,1,1,1
4059,1,1,1
10315,1,1,1
11018,1,1,1
1575,1,1,1
10482,1,1,1
10928,1,1,1
137,1,1,1
11038,1,1,1
751,1,1,1
10493,1,1,1
10667,1,1,1
1921,1,1,1
10400,1,1,1
3063,1,1,1
10966,1,1,1
10610,1,1,1
10373,1,1,1
1708,1,1,1
10348,1,1,1
10795,1,1,1
2499,1,1,1
10505,1,1,1
10798,1,1,1
446,1,1,1
10771,1,1,1
344,1,1,1
10580,1,1,1
1067,1,1,1
10723,1,1,1
11000,1,1,1
1075,1,1,1
10631,1,1,1
10677,1,1,1
956,1,1,1
10524,1,1,1
3192,1,1,1
10840,1,1,1
264,1,1,1
10854,1,1,1
10698,1,1,1
3600,1,1,1
11006,1,1,1
391,1,1,1
58000000000004,1,1,1
10751,1,1,1
10432,1,1,1
485,1,1,1
10802,1,1,1
3923,1,1,1
10881,1,1,1
150,1,1,1
10262,1,1,1
624,1,1,1
10259,1,1,1
centc,1,1,1
sierras,1,1,1
granada,1,1,1
9993,1,1,1
05022,1,1,1
10480,1,1,1
756,1,1,1
10782,1,1,1
10278,1,1,1
1488,1,1,1
10334,1,1,1
10538,1,1,1
10599,1,1,1
10976,1,1,1
10814,1,1,1
2070,1,1,1
10893,1,1,1
5502,1,1,1
10933,1,1,1
10294,1,1,1
10685,1,1,1
801,1,1,1
10437,1,1,1
10834,1,1,1
10387,1,1,1
1058,1,1,1
10370,1,1,1
10412,1,1,1
372,1,1,1
10898,1,1,1
10951,1,1,1
482,1,1,1
10998,1,1,1
10253,1,1,1
1444,1,1,1
10365,1,1,1
403,1,1,1
10299,1,1,1
349,1,1,1
10316,1,1,1
2835,1,1,1
10318,1,1,1
10759,1,1,1
320,1,1,1
10563,1,1,1
965,1,1,1
10362,1,1,1
1549,1,1,1
10636,1,1,1
10621,1,1,1
758,1,1,1
10393,1,1,1
3302,1,1,1
6000000000004,1,1,1
10628,1,1,1
450,1,1,1
10922,1,1,1
742,1,1,1
10358,1,1,1
10356,1,1,1
1106,1,1,1
10638,1,1,1
2720,1,1,1
10340,1,1,1
2564,1,1,1
10747,1,1,1
1912,1,1,1
10324,1,1,1
6155,1,1,1
10521,1,1,1
225,1,1,1
10790,1,1,1
850,1,1,1
10303,1,1,1
1242,1,1,1
10516,1,1,1
2614,1,1,1
10328,1,1,1
1168,1,1,1
10399,1,1,1
1765,1,1,1
10766,1,1,1
2310,1,1,1
10768,1,1,1
1477,1,1,1
10407,1,1,1
1194,1,1,1
10403,1,1,1
1005,1,1,1
9000000000001,1,1,1
10287,1,1,1
924,1,1,1
10598,1,1,1
2388,1,1,1
10526,1,1,1
1344,1,1,1
10397,1,1,1
10664,1,1,1
1515,1,1,1
10851,1,1,1
2740,1,1,1
10511,1,1,1
3000,1,1,1
10534,1,1,1
10654,1,1,1
668,1,1,1
10917,1,1,1
365,1,1,1
10791,1,1,1
1926,1,1,1
10341,1,1,1
10266,1,1,1
364,1,1,1
11003,1,1,1
326,1,1,1
10857,1,1,1
2630,1,1,1
10398,1,1,1
2736,1,1,1
10755,1,1,1
2598,1,1,1
10950,1,1,1
10284,1,1,1
1452,1,1,1
10794,1,1,1
10293,1,1,1
11056,1,1,1
3740,1,1,1
10656,1,1,1
671,1,1,1
10663,1,1,1
2032,1,1,1
10807,1,1,1
10457,1,1,1
1584,1,1,1
10377,1,1,1
1016,1,1,1
10897,1,1,1
240000000002,1,1,1
11025,1,1,1
10614,1,1,1
464,1,1,1
10323,1,1,1
164,1,1,1
10773,1,1,1
2216,1,1,1
10637,1,1,1
2896,1,1,1
10522,1,1,1
